make,model,year,mileage,engine,transmission,fuel_type,location,condition,price
Toyota,Premio,2009,105328,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2010,105501,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2011,105674,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2012,105847,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2013,106020,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2014,106193,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2015,106366,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2016,106539,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2017,106712,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2018,106885,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2019,107058,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2020,107231,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2021,107404,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2022,107577,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2008,107750,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2009,107923,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2010,108096,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2011,108269,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2012,108442,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2013,108615,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,108788,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,108961,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,109134,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,109307,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,109480,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,109653,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,109826,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,109999,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,110172,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,110345,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,110518,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,110691,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,110864,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,111037,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,111210,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2014,111383,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2015,111556,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2016,111729,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2017,111902,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2018,112075,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2019,112248,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2020,112421,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2021,112594,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2022,112767,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2008,112940,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2009,113113,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2010,113286,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2011,113459,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2012,113632,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2013,113805,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2014,113978,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2015,114151,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2016,114324,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2017,114497,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2018,114670,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2019,114843,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2020,115016,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2021,115189,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2022,115362,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2008,115535,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2009,115708,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2010,115881,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2011,116054,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2012,116227,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2013,116400,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2014,116573,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2015,116746,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2016,116919,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2017,117092,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2018,117265,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2019,117438,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2020,117611,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2021,117784,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2022,117957,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2008,118130,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2009,118303,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2010,118476,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2011,118649,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2012,118822,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2013,118995,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2014,119168,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2015,119341,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2016,119514,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2017,119687,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2018,119860,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2019,120033,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2020,120206,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2021,120379,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2022,120552,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2008,120725,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2009,120898,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2010,121071,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2011,121244,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2012,121417,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2013,121590,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2014,121763,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2015,121936,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2016,122109,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2017,122282,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2018,122455,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2019,122628,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2020,122801,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2021,122974,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2022,123147,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2008,123320,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2009,123493,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2010,123666,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2011,123839,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2012,124012,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2013,124185,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2014,124358,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2015,124531,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2016,124704,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2017,124877,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2018,125050,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2019,125223,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2020,125396,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2021,125569,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2022,125742,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2008,125915,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2009,126088,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2010,126261,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2011,126434,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2012,126607,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2013,126780,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2014,126953,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2015,127126,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2016,127299,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2017,127472,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2018,127645,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2019,127818,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2020,127991,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2021,128164,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2022,128337,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2008,128510,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2009,128683,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2010,128856,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2011,129029,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2012,129202,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2013,129375,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,129548,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,129721,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,129894,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,130067,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,130240,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,130413,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,130586,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,130759,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,130932,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,131105,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,131278,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,131451,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,131624,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,131797,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,131970,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2014,132143,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2015,132316,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2016,132489,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2017,132662,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2018,132835,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2019,133008,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2020,133181,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2021,133354,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2022,133527,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2008,133700,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2009,133873,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2010,134046,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2011,134219,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2012,134392,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2013,134565,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2014,134738,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2015,134911,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2016,135084,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2017,135257,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2018,135430,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2019,135603,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2020,135776,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2021,135949,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2022,136122,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2008,136295,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2009,136468,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2010,136641,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2011,136814,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2012,136987,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2013,137160,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2014,137333,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2015,137506,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2016,137679,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2017,137852,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2018,138025,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2019,138198,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2020,138371,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2021,138544,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2022,138717,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2008,138890,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2009,139063,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2010,139236,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2011,139409,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2012,139582,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2013,139755,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2014,139928,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2015,140101,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2016,140274,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2017,140447,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2018,140620,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2019,140793,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2020,140966,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2021,141139,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2022,141312,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2008,141485,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2009,141658,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2010,141831,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2011,142004,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2012,142177,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2013,142350,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2014,142523,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2015,142696,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2016,142869,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2017,143042,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2018,143215,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2019,143388,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2020,143561,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2021,143734,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2022,143907,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2008,144080,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2009,144253,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2010,144426,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2011,144599,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2012,144772,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2013,144945,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2014,145118,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2015,145291,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2016,145464,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2017,145637,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2018,145810,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2019,145983,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2020,146156,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2021,146329,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2022,146502,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2008,146675,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2009,146848,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2010,147021,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2011,147194,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2012,147367,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2013,147540,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2014,147713,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2015,147886,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2016,148059,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2017,148232,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2018,148405,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2019,148578,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2020,148751,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2021,148924,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2022,149097,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2008,149270,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2009,149443,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2010,149616,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2011,149789,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2012,149962,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2013,150135,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,150308,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,150481,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,150654,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,150827,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,151000,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,151173,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,151346,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,151519,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,151692,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,151865,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,152038,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,152211,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,152384,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,152557,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,152730,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2014,152903,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2015,153076,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2016,153249,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2017,153422,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2018,153595,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2019,153768,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2020,153941,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2021,154114,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2022,154287,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2008,154460,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2009,154633,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2010,154806,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2011,154979,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2012,155152,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2013,155325,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2014,155498,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2015,155671,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
